call_price,path
29.9062,2139,
29.9113,2140,
29.9132,2141,
29.8992,2142,
29.9054,2143,
29.8931,2144,
29.8792,2145,
29.8653,2146,
29.8616,2147,
29.8812,2148,
29.8673,2149,
29.8657,2150,
29.8518,2151,
29.8704,2152,
29.8565,2153,
29.8462,2154,
29.8436,2155,
29.8537,2156,
29.8438,2157,
29.8437,2158,
29.8533,2159,
29.8394,2160,
29.8949,2161,
29.8922,2162,
29.9328,2163,
29.921,2164,
29.9375,2165,
29.9237,2166,
29.9165,2167,
29.9027,2168,
29.9201,2169,
29.9236,2170,
29.9098,2171,
29.896,2172,
29.9049,2173,
29.8911,2174,
29.8774,2175,
29.8636,2176,
29.8653,2177,
29.8516,2178,
29.8517,2179,
29.8405,2180,
29.8272,2181,
29.8152,2182,
29.8015,2183,
29.8555,2184,
29.8418,2185,
29.8425,2186,
29.8288,2187,
29.857,2188,
29.8434,2189,
29.8518,2190,
29.839,2191,
29.8391,2192,
29.8292,2193,
29.8156,2194,
29.8207,2195,
29.8072,2196,
29.8023,2197,
29.7887,2198,
29.7758,2199,
29.7691,2200,
29.7988,2201,
29.8422,2202,
29.8394,2203,
29.8587,2204,
29.8476,2205,
29.8646,2206,
29.851,2207,
29.8375,2208,
29.8255,2209,
29.812,2210,
29.8063,2211,
29.8174,2212,
29.8039,2213,
29.7995,2214,
29.786,2215,
29.7726,2216,
29.7724,2217,
29.7929,2218,
29.7867,2219,
29.7738,2220,
29.7604,2221,
29.7496,2222,
29.7363,2223,
29.7386,2224,
29.7252,2225,
29.7118,2226,
29.7014,2227,
29.6881,2228,
29.6758,2229,
29.6724,2230,
29.6627,2231,
29.652,2232,
29.6685,2233,
29.656,2234,
29.6813,2235,
29.6697,2236,
29.6753,2237,
29.676,2238,
29.685,2239,
29.7139,2240,
29.7085,2241,
29.7176,2242,
29.7278,2243,
29.7159,2244,
29.7128,2245,
29.7014,2246,
29.6882,2247,
29.675,2248,
29.6771,2249,
29.6639,2250,
29.6558,2251,
29.6505,2252,
29.6391,2253,
29.6347,2254,
29.6915,2255,
29.6899,2256,
29.6768,2257,
29.7302,2258,
29.7253,2259,
29.7251,2260,
29.7241,2261,
29.711,2262,
29.6985,2263,
29.6854,2264,
29.6777,2265,
29.7049,2266,
29.6918,2267,
29.6827,2268,
29.6996,2269,
29.6865,2270,
29.6926,2271,
29.702,2272,
29.7185,2273,
29.7299,2274,
29.7188,2275,
29.7155,2276,
29.7135,2277,
29.7005,2278,
29.7102,2279,
29.6972,2280,
29.6887,2281,
29.6939,2282,
29.6827,2283,
29.6833,2284,
29.6776,2285,
29.672,2286,
29.6927,2287,
29.6798,2288,
29.6724,2289,
29.6596,2290,
29.6509,2291,
29.6437,2292,
29.6788,2293,
29.7159,2294,
29.7094,2295,
29.6965,2296,
29.6983,2297,
29.6931,2298,
29.7151,2299,
29.7129,2300,
29.704,2301,
29.7091,2302,
29.7606,2303,
29.7501,2304,
29.7405,2305,
29.7793,2306,
